
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.34367, Epoch 2, Batch 29, Loss = 2.11964, Training Accuracy = 0.1800
Time 0.35929, Epoch 2, Batch 30, Loss = 2.13879, Training Accuracy = 0.1500
Time 0.35929, Epoch 2, Batch 31, Loss = 2.06999, Training Accuracy = 0.2600
Time 0.34367, Epoch 2, Batch 32, Loss = 2.02046, Training Accuracy = 0.2300
Time 0.35929, Epoch 2, Batch 33, Loss = 1.99630, Training Accuracy = 0.2200
Time 0.34367, Epoch 2, Batch 34, Loss = 2.16787, Training Accuracy = 0.1700
Time 0.34367, Epoch 2, Batch 35, Loss = 2.08022, Training Accuracy = 0.2100
Time 0.34367, Epoch 2, Batch 36, Loss = 2.11218, Training Accuracy = 0.1700
Time 0.34367, Epoch 2, Batch 37, Loss = 2.10747, Training Accuracy = 0.1100
Time 0.34367, Epoch 2, Batch 38, Loss = 2.06006, Training Accuracy = 0.1600
Time 0.35929, Epoch 2, Batch 39, Loss = 2.12455, Training Accuracy = 0.1800

Time 14.16856, Epoch 2, Average Loss = 2.12695, Training Average Accuracy = 0.1680

Time 0.37491, Epoch 3, Batch 0, Loss = 2.09015, Training Accuracy = 0.2400
Time 0.34367, Epoch 3, Batch 1, Loss = 2.11857, Training Accuracy = 0.1400
Time 0.35929, Epoch 3, Batch 2, Loss = 2.16713, Training Accuracy = 0.1300
Time 0.34367, Epoch 3, Batch 3, Loss = 2.01181, Training Accuracy = 0.2600
Time 0.35929, Epoch 3, Batch 4, Loss = 2.07193, Training Accuracy = 0.1500
Time 0.34367, Epoch 3, Batch 5, Loss = 2.16851, Training Accuracy = 0.1100
Time 0.35929, Epoch 3, Batch 6, Loss = 2.09796, Training Accuracy = 0.1100
Time 0.35929, Epoch 3, Batch 7, Loss = 2.12666, Training Accuracy = 0.1800
Time 0.34367, Epoch 3, Batch 8, Loss = 2.05402, Training Accuracy = 0.1900
Time 0.35929, Epoch 3, Batch 9, Loss = 2.23045, Training Accuracy = 0.1000
Time 0.35929, Epoch 3, Batch 10, Loss = 2.10273, Training Accuracy = 0.2400
Time 0.34367, Epoch 3, Batch 11, Loss = 2.02925, Training Accuracy = 0.2100
